Year,Life Expectancy,Total Expenditure
2005,73.1,5.82
2004,72.8,5.37
2003,72.4,5.92
2002,71.8,5.67
2001,71.5,5.96
2000,71.4,5.91
2014,63.2,6.75
2013,62.9,6.51
2012,62.5,7.11
2011,62.2,6.1
2010,61.8,5.82
2009,61.3,3.82
2008,61.0,5.13
2007,66.0,4.93
2006,63.0,4.57
2005,60.0,4.32
2004,59.8,3.96
2003,59.6,3.65
2014,79.5,9.31
2013,79.4,9.47
2012,79.2,9.56
2011,79.0,9.73
2010,78.1,9.66
2009,79.2,9.69
2008,78.9,9.1
2007,78.9,8.37
2006,78.0,7.82
2005,78.6,7.74
2004,77.7,7.8
2003,78.0,8.45
2002,78.3,8.23
2001,77.5,7.25
2000,77.6,7.12
2014,77.8,7.8
2013,77.7,7.83
2012,77.1,7.8
2011,77.0,7.8
2010,76.6,8.25
2009,76.3,8.18
2008,76.0,7.7
2007,75.8,7.44
2014,83.0,7.37
2013,81.0,7.46
2012,80.0,7.44
2011,79.7,7.54
2010,79.5,7.23
2009,79.3,7.4
2008,79.1,6.89
2007,78.9,6.5
2006,78.8,6.28
2005,78.7,6.37
2004,78.6,6.42
2003,78.5,6.83
2002,78.4,6.12
2001,78.2,5.78
2000,78.1,5.77
2014,63.0,1.57
2013,62.7,9.14
2012,62.2,8.95
2011,61.8,8.71
2010,61.3,8.84
2009,69.0,8.37
2008,62.0,8.5
2007,59.8,7.72
2014,73.6,4.38
2013,73.4,4.12
2012,72.1,4.26
2011,73.1,4.22
2010,72.7,4.6
2009,73.6,4.41
2008,73.3,4.2
2007,72.9,4.34
2006,72.3,4.34
2005,69.7,4.26
2004,69.3,4.28
2003,73.0,5.53
2002,71.4,5.79
2001,71.2,5.59
2000,72.0,5.9
2014,76.0,9.16
2013,76.0,7.29
2012,75.5,6.48
2011,75.3,5.92
2010,75.0,5.9
2009,75.1,5.58
2008,74.6,5.66
2007,74.7,5.94
2006,74.4,5.86
2005,74.2,5.87
2004,74.4,6.22
2003,74.4,6.46
2002,73.6,4.62
2001,73.4,3.86
2000,72.8,3.38
2014,73.3,6.77
2013,73.0,6.95
2012,73.0,6.7
2011,72.0,6.81
2010,72.0,6.91
2009,71.4,6.83
2008,71.7,6.21
2007,71.2,6.32
2006,75.0,6.68
2005,71.0,7.19
2004,70.0,7.3
2003,69.9,7.61
2002,73.0,7.9
2001,68.9,8.2
2000,69.0,8.17
2014,57.9,3.8
2011,62.9,3.6
2010,62.1,3.24
2009,61.4,3.3
2008,67.0,3.69
2007,62.0,3.29
2006,59.7,3.3
2005,59.4,2.97
2004,59.1,3.14
2003,58.8,3.5
2002,58.5,4.2
2014,77.3,6.38
2013,76.9,6.48
2012,76.3,6.36
2011,76.1,5.83
2010,75.6,6.25
2009,74.9,6.93
2008,74.2,6.6
2007,73.0,5.16
2006,73.0,5.1
2005,72.8,5.2
2004,72.3,5.13
2014,64.2,4.88
2013,63.7,5.19
2012,63.3,5.77
2011,62.6,6.55
2010,61.8,6.86
2009,68.0,4.41
2008,59.8,4.28
2007,58.5,4.69
2014,69.7,4.49
2013,69.6,4.26
2012,69.4,4.16
2011,69.2,4.6
2010,69.1,4.23
2009,68.9,4.26
2008,68.7,3.68
2007,68.6,3.74
2006,68.5,3.84
2005,68.3,3.61
2004,68.1,3.61
2003,68.0,3.35
2002,67.9,3.48
2001,67.8,3.28
2000,67.7,3.87
2014,82.2,11.54
2013,82.0,11.56
2012,81.5,11.44
2011,81.7,11.33
2010,81.3,11.2
2009,81.1,11.28
2008,89.0,1.57
2007,89.0,1.45
2006,86.0,1.53
2005,81.0,1.6
2004,82.0,1.53
2003,79.3,1.43
2002,79.2,1.22
2001,79.0,9.89
2000,78.8,9.77
2014,65.5,3.44
2013,64.6,3.98
2012,63.5,3.13
2011,62.8,3.12
2010,62.3,3.41
2009,61.7,3.43
2008,61.6,2.54
2007,61.6,2.86
2006,61.4,2.88
2005,65.0,2.76
2014,74.5,7.42
2013,74.5,7.25
2012,74.2,8.57
2011,73.9,9.38
2010,73.8,1.5
2009,73.2,1.19
2008,73.9,8.99
2007,74.4,8.17
2006,73.9,8.39
2005,73.9,8.6
2004,72.3,8.53
2003,72.7,8.49
2002,71.7,8.72
2001,73.0,7.82
2000,71.8,6.94
2014,89.0,11.3
2013,86.0,11.16
2012,86.0,1.99
2011,85.0,1.93
2010,81.0,11.25
2009,80.0,11.4
2008,79.9,1.39
2007,79.8,1.18
2006,79.6,1.34
2005,79.2,1.52
2004,79.1,1.37
2003,78.5,1.62
2002,78.4,1.4
2001,78.3,1.15
2000,78.0,1.1
2014,62.1,3.56
2013,61.9,4.63
2012,61.6,4.79
2011,61.2,4.81
2010,69.0,5.33
2009,66.0,5.17
2008,63.0,4.85
2007,59.9,5.3
2006,59.4,4.64
2005,58.9,4.51
2004,58.3,3.96
2003,57.9,3.12
2002,57.6,3.7
2014,88.0,8.8
2013,86.0,9.26
2012,84.0,9.24
2011,85.0,9.77
2010,83.0,9.18
2009,80.0,9.76
2008,79.9,9.76
2007,79.4,9.41
2006,79.7,9.34
2005,79.3,9.36
2004,79.2,8.3
2003,79.1,8.61
2002,79.0,8.72
2001,78.7,8.47
2000,78.2,7.6
2014,71.7,6.2
2013,71.4,6.3
2012,71.3,6.33
2011,71.1,6.28
2010,77.0,6.64
2009,76.0,6.79
2008,79.0,6.65
2007,75.0,6.86
2006,69.7,7.7
2005,69.2,6.79
2014,58.1,5.64
2013,58.8,5.49
2012,58.4,5.39
2011,58.1,4.73
2010,57.8,4.55
2009,57.3,3.85
2008,56.8,3.21
2007,56.4,3.8
2014,58.4,5.59
2013,58.1,6.14
2012,57.6,5.96
2011,57.1,5.46
2010,56.7,6.7
2009,56.3,6.81
2014,66.0,5.25
2013,65.9,5.1
2012,65.8,6.57
2011,65.6,6.8
2010,65.9,6.6
2009,66.1,7.32
2008,66.3,7.46
2007,65.7,6.45
2006,65.2,4.67
2005,65.0,5.83
2004,65.1,5.73
2003,65.3,5.97
2002,65.3,5.84
2001,65.4,5.82
2014,63.1,7.56
2013,62.7,8.1
2014,74.5,8.72
2013,74.3,9.15
2012,74.1,9.78
2011,73.9,8.57
2010,73.6,8.45
2009,73.4,8.84
2008,73.2,8.4
2007,73.0,7.89
2006,72.8,7.63
2005,72.5,7.81
2004,72.2,7.89
2003,71.9,8.29
2002,71.6,7.28
2001,71.3,6.88
2000,71.0,6.63
2014,68.0,4.69
2013,67.6,4.53
2012,67.3,4.39
2011,66.8,4.33
2010,66.4,4.28
2009,66.0,4.38
2008,65.5,4.34
2007,65.2,4.23
2006,64.8,4.25
2005,64.4,4.28
2004,64.0,4.22
2014,68.9,2.85
2013,68.7,2.93
2012,68.5,2.9
2011,68.3,2.71
2010,68.1,2.74
2009,67.9,2.83
2008,67.7,2.81
2007,67.5,3.1
2006,67.3,2.91
2005,67.2,2.79
2004,65.3,2.37
2003,66.9,2.53
2002,66.7,2.27
2001,66.5,2.23
2000,66.3,1.98
2014,67.9,5.54
2013,69.5,5.92
2012,76.0,5.26
2011,77.0,3.32
2010,76.0,3.82
2009,74.0,4.65
2008,69.3,3.93
2007,65.9,3.69
2006,64.7,3.0
2005,66.8,4.13
2004,67.2,5.61
2014,81.2,7.78
2013,81.0,8.1
2012,85.0,8.32
2011,84.0,8.15
2010,86.0,8.76
2014,82.2,7.81
2013,82.1,7.89
2012,81.8,7.73
2011,81.8,7.39
2010,81.7,7.36
2009,81.5,7.46
2008,81.0,7.33
2007,84.0,7.37
2006,84.0,7.38
2005,80.0,7.44
2004,81.0,7.35
2003,79.7,7.44
2002,79.3,7.49
2001,79.3,7.61
2000,78.9,7.13
2014,82.5,9.25
2013,82.3,9.22
2012,82.0,9.28
2011,82.0,9.27
2010,81.8,9.42
2009,81.6,9.41
2008,81.5,8.89
2007,81.3,8.48
2006,81.2,8.82
2005,88.0,8.71
2004,89.0,8.49
2003,79.9,8.17
2002,80.0,8.23
2001,79.8,8.11
2000,79.4,7.91
2014,75.8,5.36
2013,75.6,5.91
2012,75.3,5.66
2011,75.2,5.21
2010,75.0,5.3
2009,74.7,5.16
2008,74.5,5.4
2007,74.2,4.87
2006,74.0,4.22
2005,73.5,4.7
2004,73.3,4.8
2003,73.1,4.56
2014,74.0,7.45
2013,73.9,7.23
2012,73.7,8.0
2011,73.6,8.39
2010,73.4,8.42
2009,73.3,9.54
2008,73.1,8.78
2007,73.0,8.35
2006,72.8,8.8
2005,72.4,8.88
2004,72.5,9.5
2003,72.3,9.15
2002,72.1,9.68
2001,71.9,9.9
2000,71.7,9.65
2014,69.9,4.36
2013,69.5,4.3
2012,69.1,4.32
2011,68.5,4.6
2010,67.8,4.42
2009,67.8,4.13
2008,66.6,3.65
2007,65.3,3.19
2006,65.0,3.73
2005,64.6,4.7
2004,64.7,3.95
2003,64.4,3.7
2002,64.7,3.61
2001,64.4,3.47
2000,63.9,4.16
2014,62.9,5.72
2013,62.6,5.57
2012,62.1,5.49
2011,61.2,5.23
2010,63.0,3.97
2009,59.1,4.17
2008,57.9,3.9
2007,56.8,4.8
2006,55.3,4.24
2005,54.1,4.36
2004,53.0,4.29
2003,52.4,4.45
2002,52.1,4.54
2014,66.1,1.21
2013,65.8,1.15
2012,65.7,1.37
2011,65.5,1.42
2010,65.3,1.52
2009,65.2,12.24
2008,65.1,12.23
2007,65.0,13.66
2006,65.0,1.93
2005,64.9,1.6
2004,64.8,1.39
2003,64.7,9.98
2002,64.6,9.1
2001,64.3,9.0
2000,64.1,8.12
2014,74.4,5.88
2013,74.1,5.67
2012,73.8,5.91
2011,73.6,6.1
2010,72.8,6.55
2009,72.6,6.84
2008,71.9,6.63
2007,78.0,7.1
2006,75.0,6.8
2005,76.0,6.37
2004,71.0,6.51
2003,78.0,6.15
2002,73.0,6.29
2001,69.9,6.17
2000,71.0,6.0
2014,74.8,6.39
2013,74.9,6.63
2012,75.0,6.99
2011,75.0,7.12
2010,74.9,7.19
2009,74.7,7.42
2008,74.5,8.7
2007,74.4,8.9
2006,74.1,8.83
2005,73.9,8.42
2004,73.7,8.91
2003,73.5,9.3
2002,73.2,1.5
2001,73.0,1.9
2000,72.7,1.86
2014,52.1,1.62
2013,52.1,11.7
2012,52.2,11.14
2011,52.3,11.79
2010,51.1,1.87
2009,49.4,9.8
2008,47.8,8.85
2007,46.2,8.47
2006,45.3,7.12
2005,44.5,6.3
2004,44.8,6.96
2003,45.5,7.13
2014,58.1,1.4
2013,61.1,9.25
2012,67.0,1.19
2011,62.0,11.23
2010,59.7,11.87
2009,59.2,14.39
2008,58.6,11.83
2014,73.4,6.55
2013,73.0,6.59
2012,73.0,6.67
2011,72.8,6.86
2010,72.4,7.9
2009,72.2,7.53
2008,71.1,6.61
2007,72.0,6.22
2006,76.0,6.2
2005,78.0,5.83
2004,71.6,5.67
2003,71.6,6.46
2002,71.4,6.4
2001,71.2,6.26
2000,71.6,6.46
2014,81.7,6.94
2013,81.4,7.1
2012,81.1,7.18
2011,88.0,7.34
2010,86.0,7.68
2009,83.0,8.11
2008,80.0,7.34
2007,79.7,6.8
2006,79.4,7.75
2005,78.8,7.95
2004,78.7,8.2
2003,78.6,7.67
2002,78.3,8.27
2001,78.0,7.4
2000,77.8,7.48
2014,65.1,3.4
2013,64.7,4.15
2012,64.3,3.46
2011,63.8,4.24
2010,63.3,4.86
2009,62.8,4.7
2008,62.3,4.5
2007,61.9,4.98
2006,61.4,5.11
2005,69.0,5.3
2004,64.0,4.89
2003,59.9,4.81
2002,59.3,5.29
2014,57.6,11.38
2013,56.7,1.96
2012,55.3,12.6
2011,54.1,11.67
2010,52.9,1.5
2009,51.5,1.18
2008,50.0,1.7
2007,48.5,9.31
2006,47.1,8.99
2005,46.0,8.2
2004,45.1,7.82
2003,44.6,6.35
2002,44.0,4.82
2014,74.8,4.17
2013,74.6,4.2
2012,74.5,4.1
2011,74.3,3.89
2010,74.1,3.99
2009,74.0,3.97
2008,73.8,3.47
2007,73.7,3.61
2006,73.6,3.65
2005,73.4,3.29
2004,73.2,3.74
2003,73.1,3.95
2002,72.9,3.4
2001,72.7,3.4
2000,72.4,3.4
2014,78.2,13.73
2013,77.9,11.16
2012,77.6,9.16
2011,77.3,8.11
2010,76.7,7.93
2009,76.3,9.22
2008,75.9,9.3
2007,75.4,6.64
2006,75.0,7.37
2005,74.3,9.52
2004,73.4,5.89
2003,72.7,5.9
2002,71.8,5.78
2001,78.0,5.84
2000,69.6,8.0
2014,57.8,6.86
2013,57.3,6.58
2012,57.2,6.47
2011,56.8,6.59
2010,56.5,6.35
2009,56.0,6.85
2008,55.5,6.74
2007,55.0,6.97
2006,54.3,6.56
2005,53.6,6.34
2004,52.8,6.28
2003,52.0,6.25
2014,81.4,9.75
2013,81.1,9.89
2012,81.0,9.95
2011,87.0,9.6
2010,83.0,8.3
2009,82.0,8.33
2008,80.0,8.15
2007,79.6,8.36
2006,79.3,8.93
2005,79.0,8.83
2004,78.7,8.46
2003,78.5,8.6
2014,63.0,3.77
2013,62.7,3.63
2012,62.5,3.36
2011,62.2,2.87
2010,62.0,3.28
2009,61.7,3.79
2008,61.4,3.23
2007,61.2,3.54
2006,69.0,3.21
2005,66.0,4.21
2014,74.2,4.81
2013,74.1,4.82
2012,73.9,4.76
2011,73.6,5.2
2010,73.3,5.29
2009,72.8,4.97
2008,72.7,4.6
2007,72.9,4.24
2006,71.8,4.38
2005,72.1,4.47
2004,71.9,4.29
2003,71.5,4.15
2002,71.5,4.24
2001,71.5,3.87
2000,71.0,3.78
2014,76.6,6.3
2013,76.6,6.3
2012,76.3,6.21
2011,76.1,6.4
2010,75.6,6.39
2009,75.7,6.6
2008,75.6,6.6
2007,76.0,5.92
2006,75.8,5.83
2005,75.3,6.4
2004,75.4,6.11
2003,75.0,6.2
2002,75.0,5.52
2001,75.0,5.35
2000,74.8,4.98
2014,68.4,4.73
2013,68.1,4.21
2012,67.8,4.22
2011,67.3,4.45
2010,66.3,4.7
2009,66.9,5.29
2008,67.4,5.58
2007,65.9,5.6
2006,65.0,4.68
2005,64.5,5.9
2004,64.0,5.99
2003,64.0,6.18
2002,63.8,5.81
2001,63.2,5.45
2000,62.8,4.92
2014,75.9,6.42
2013,75.8,6.43
2012,75.6,7.25
2011,75.4,6.92
2010,75.3,6.9
2009,75.0,6.7
2008,74.6,6.13
2007,74.2,6.74
2006,73.8,8.1
2014,74.1,5.91
2013,73.9,5.94
2012,73.6,6.15
2011,73.3,5.99
2010,72.8,5.86
2009,72.3,5.67
2008,71.8,5.41
2007,71.4,5.48
2006,71.0,5.23
2005,77.0,5.6
2004,72.0,5.22
2003,69.9,5.25
2002,69.5,5.31
2001,69.0,4.44
2000,68.6,4.18
2014,56.7,6.98
2013,55.3,5.9
2012,54.8,5.58
2011,54.3,6.23
2010,54.0,5.38
2009,53.8,5.43
2008,53.2,4.91
2007,52.1,5.25
2006,51.2,6.51
2005,58.0,6.87
2004,54.0,5.91
2003,51.0,6.39
2002,49.8,6.45
2001,49.5,5.64
2014,66.4,2.28
2013,66.2,2.16
2012,65.9,2.22
2011,65.6,1.87
2010,65.4,1.92
2009,65.2,2.5
2008,59.2,1.87
2007,64.5,1.68
2006,64.2,1.78
2005,63.9,1.83
2004,63.5,1.97
2003,63.2,1.97
2014,65.9,8.93
2013,66.1,8.53
2012,65.8,8.24
2011,64.3,8.78
2010,63.0,7.89
2014,69.6,5.8
2013,69.3,5.69
2012,68.9,5.89
2011,68.4,6.73
2010,68.0,6.43
2009,67.5,6.41
2008,67.0,6.44
2007,66.6,5.84
2006,66.0,5.7
2005,65.4,5.72
2004,64.7,5.82
2003,64.3,5.48
2014,81.7,1.9
2013,81.4,11.4
2012,81.1,11.1
2011,81.1,1.53
2014,74.5,9.4
2013,73.9,8.43
2012,73.9,8.4
2011,74.5,6.39
2010,73.2,6.58
2009,73.2,6.82
2008,72.5,6.98
2007,72.5,6.91
2006,73.0,6.33
2005,71.2,6.11
2004,71.0,6.13
2003,76.0,6.12
2002,75.0,5.71
2001,73.0,5.26
2000,73.0,5.39
2014,61.4,5.82
2013,69.0,5.9
2012,63.0,6.11
2011,59.4,6.66
2010,58.2,6.36
2009,57.1,6.98
2014,53.6,3.67
2013,53.2,3.7
2012,52.7,3.3
2011,52.3,3.69
2010,52.0,3.47
2009,51.6,4.24
2008,59.0,4.0
2007,55.0,4.47
2006,49.8,3.66
2005,49.2,4.11
2014,66.2,2.61
2013,66.0,2.7
2012,65.7,2.76
2011,65.5,3.1
2010,65.1,3.2
2009,64.8,2.94
2008,64.6,3.26
2007,64.4,3.35
2006,64.2,3.4
2005,62.9,2.91
2004,63.7,2.56
2003,63.5,2.61
2014,77.6,8.3
2013,77.5,8.9
2012,77.2,7.25
2011,77.3,7.5
2010,76.5,8.5
2009,76.8,7.56
2008,76.5,6.75
2007,76.4,6.31
2006,76.2,7.0
2005,75.8,7.48
2004,75.8,8.9
2003,75.5,7.6
2002,75.7,8.3
2001,75.5,7.72
2014,62.7,4.26
2013,62.4,4.78
2012,62.2,4.55
2011,62.0,4.94
2010,61.8,4.18
2009,61.6,4.36
2008,61.4,4.6
2007,61.1,4.4
2006,68.0,5.92
2005,64.0,6.42
2004,59.9,8.39
2003,59.6,6.79
2002,59.3,7.69
2001,59.1,6.68
2000,58.9,3.98
2014,73.9,9.81
2013,73.8,1.49
2012,73.6,1.33
2011,73.4,9.42
2010,73.2,9.1
2009,73.0,9.14
2008,72.7,7.6
2007,72.5,6.41
2006,72.3,6.43
2005,72.1,6.7
2004,71.9,5.78
2003,71.7,5.99
2014,75.3,5.47
2013,75.3,5.23
2012,74.9,5.18
2011,74.5,4.93
2010,73.7,5.3
2009,73.8,5.36
2008,73.9,4.73
2007,74.0,4.6
2006,74.2,4.47
2005,72.8,4.72
2004,72.2,4.56
2003,72.1,4.6
2014,68.4,4.71
2013,68.1,4.56
2012,68.1,4.46
2011,68.0,4.29
2010,67.9,4.37
2009,68.0,4.41
2008,67.5,4.5
2007,67.5,3.94
2006,67.3,3.95
2005,67.0,3.91
2004,67.3,3.23
2003,67.2,3.25
2002,66.8,2.79
2001,66.8,3.0
2000,66.8,3.21
2014,77.3,6.35
2013,77.1,6.4
2012,76.8,6.62
2011,76.7,6.7
2010,76.3,6.88
2009,75.7,7.12
2008,75.5,6.88
2007,75.3,6.28
2006,75.2,6.17
2005,75.0,6.2
2004,74.9,6.19
2003,74.7,6.22
2002,74.5,6.32
2001,74.2,5.86
2000,73.7,5.5
2014,89.0,9.5
2013,86.0,9.55
2012,83.0,9.74
2011,82.0,1.7
2010,79.6,1.44
2009,79.3,1.42
2008,79.0,9.9
2007,78.7,9.62
2006,78.5,9.67
2005,77.7,9.98
2004,78.0,9.84
2003,77.3,9.54
2002,77.2,9.15
2001,76.9,9.1
2000,76.6,9.14
2014,74.8,5.57
2013,74.6,5.6
2012,74.4,5.48
2011,74.3,5.53
2010,73.4,5.83
2009,73.1,5.56
2008,73.1,5.33
2007,72.9,5.21
2006,72.5,5.6
2005,71.9,5.47
2004,71.7,5.43
2003,71.1,5.3
2002,77.0,4.57
2001,78.0,4.36
2000,77.0,4.33
2014,73.0,7.7
2013,70.0,7.9
2012,69.6,6.88
2011,69.4,6.61
2010,68.4,6.83
2009,68.2,7.44
2008,67.5,6.22
2007,67.3,5.38
2006,66.4,5.3
2005,65.0,5.21
2004,64.9,5.19
2003,64.6,5.61
2002,64.8,5.99
2001,65.1,5.67
2014,65.7,7.53
2013,65.2,7.69
2012,64.6,7.68
2011,63.8,7.71
2010,62.8,7.91
2009,61.0,7.2
2008,68.0,7.66
2007,59.6,8.49
